playlist,track_name,artist,album,release_date,popularity,track_id
Bollywood Top 50,Laal Ishq,"Sanjay Leela Bhansali, Arijit Singh, Siddharth - Garima",Goliyon Ki Raasleela Ram-Leela (Original Motion Picture Soundtrack),2013-10-15,61,4hXHlAc9ZOJY5pGbdfuWsa
Bollywood Top 50,Lo Maan Liya,Arijit Singh,Raaz Reboot,2016-08-19,65,2wJ9d1Gfj8OqcznPAroqvh
Bollywood Top 50,Tu Hi Haqeeqat,"Pritam, Javed Ali, Irshan Ashraf, Shadab",Tum Mile (Original Motion Picture Soundtrack),2009-09-08,72,3OLFqbd9ZeVjaUKTiaLsD6
Bollywood Top 50,Kholo Kholo,Raman Mahadevan,Taare Zameen Par,2007-11-05,52,1IfhPnZpm0IZOoAM1PDjtw
Bollywood Top 50,Duniyaa,"Akhil, Dhvani Bhanushali, Kunaal Vermaa",Luka Chuppi,2019-02-22,48,14cceH4q4ME5ywqe2DbFGs
Bollywood Top 50,Sanu Ek Pal Chain,"Rahat Fateh Ali Khan, Tanishk Bagchi, Nusrat Fateh Ali Khan, Manoj Muntashir",Raid,2018-03-01,62,0qilTtN718ldWzIFc37zAl
Bollywood Top 50,Sapna Jahan,"Ajay-Atul, Sonu Nigam, Neeti Mohan",Brothers (Original Motion Picture Soundtrack),2015-07-24,46,5PM1dIibpTR57jlugvjNSM
Bollywood Top 50,"Tu Har Lamha (From ""Khamoshiyan"")","Bobby-Imran, Arijit Singh","Tu Har Lamha (From ""Khamoshiyan"")",2014-12-29,62,13tg1zpSfWyFQbv09a9LPD
Bollywood Top 50,Taare Zameen Par,"Shankar Mahadevan, Dominique, Vivienne Pocha",Taare Zameen Par,2007-11-05,49,5ELS4KckqA4uxrS8RnxEjv
Bollywood Top 50,Surili Akhiyon Wale - Duet,"Sajid-Wajid, Rahat Fateh Ali Khan, Sunidhi Chauhan, Suzanne D'Mello, Gulzar",Veer (Original Motion Picture Soundtrack),2009-01-22,42,1AC0Gin6gRaKUY3YzRs8SZ
Bollywood Top 50,Choo Lo,The Local Train,Aalas Ka Pedh,2015-09-25,2,0rlLBWFFTQiOWi963SH9bb
Bollywood Top 50,Jannatein Kahan,"Pritam, KK, Mayur Puri",Jannat 2 (Original Motion Picture Soundtrack),2012-03-30,60,62wnQra2VgCUyHO3BUIAcr
Bollywood Top 50,Raaton,Aditya Rikhari,Raaton,2023-07-15,52,4mpRxleD4q4rxgRBgC6TpB
Bollywood Top 50,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam, Arijit Singh, Shreya Ghoshal, Amitabh Bhattacharya","Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",2023-06-28,42,1kDZSmw3mKQeAjcmPTLS3M
Bollywood Top 50,"Tumhe Kitna Pyaar Karte (From ""Bawaal"")","Mithoon, Arijit Singh, Manoj Muntashir","Tumhe Kitna Pyaar Karte (From ""Bawaal"")",2023-07-07,55,03hJuEQpEQERrHpjcXKWzJ
